answer	answer_sentenceid	questionid	storyid
around three	006536d7-2be3-49a4-a750-769684e952ed_0	006536d7-2be3-49a4-a750-769684e952ed_Q0	006536d7-2be3-49a4-a750-769684e952ed
a scratching sound coming from my closet	006536d7-2be3-49a4-a750-769684e952ed_1	006536d7-2be3-49a4-a750-769684e952ed_Q1	006536d7-2be3-49a4-a750-769684e952ed
from my closet	006536d7-2be3-49a4-a750-769684e952ed_1	006536d7-2be3-49a4-a750-769684e952ed_Q2	006536d7-2be3-49a4-a750-769684e952ed
My little brother	006536d7-2be3-49a4-a750-769684e952ed_4	006536d7-2be3-49a4-a750-769684e952ed_Q3	006536d7-2be3-49a4-a750-769684e952ed
at an accounting firm	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q0	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
No	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q1	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
Larry grew tired of doing the same thing every day.	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q2	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
nothing	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_4	04c164f6-da41-48a3-8aa3-eb7b650bb5f0_Q3	04c164f6-da41-48a3-8aa3-eb7b650bb5f0
Tom	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348_Q0	0beabab2-fb49-460e-a6e6-f35a202e3348
a guest	0beabab2-fb49-460e-a6e6-f35a202e3348_1	0beabab2-fb49-460e-a6e6-f35a202e3348_Q1	0beabab2-fb49-460e-a6e6-f35a202e3348
a hole in the wall of his house	0beabab2-fb49-460e-a6e6-f35a202e3348_2	0beabab2-fb49-460e-a6e6-f35a202e3348_Q2	0beabab2-fb49-460e-a6e6-f35a202e3348
with regret about his actions	0beabab2-fb49-460e-a6e6-f35a202e3348_4	0beabab2-fb49-460e-a6e6-f35a202e3348_Q3	0beabab2-fb49-460e-a6e6-f35a202e3348
a new job	0dd3e2c3-3ea4-450a-97c4-42a54c426018_0	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q0	0dd3e2c3-3ea4-450a-97c4-42a54c426018
She was nervous about her first day of work.	0dd3e2c3-3ea4-450a-97c4-42a54c426018_1	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q1	0dd3e2c3-3ea4-450a-97c4-42a54c426018
an hour	0dd3e2c3-3ea4-450a-97c4-42a54c426018_3	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q2	0dd3e2c3-3ea4-450a-97c4-42a54c426018
On the first day of work, Jane overslept.	0dd3e2c3-3ea4-450a-97c4-42a54c426018_2	0dd3e2c3-3ea4-450a-97c4-42a54c426018_Q3	0dd3e2c3-3ea4-450a-97c4-42a54c426018
when I was four years old	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41_Q0	110fafd1-2bb7-4ffe-aac7-475706165d41
I got Charlie Horse when I was four years old.	110fafd1-2bb7-4ffe-aac7-475706165d41_0	110fafd1-2bb7-4ffe-aac7-475706165d41_Q1	110fafd1-2bb7-4ffe-aac7-475706165d41
He's a brown stuffed horse, and at 35 I still sleep with him at night.	110fafd1-2bb7-4ffe-aac7-475706165d41_1	110fafd1-2bb7-4ffe-aac7-475706165d41_Q2	110fafd1-2bb7-4ffe-aac7-475706165d41
liked to my radio	110fafd1-2bb7-4ffe-aac7-475706165d41_4	110fafd1-2bb7-4ffe-aac7-475706165d41_Q3	110fafd1-2bb7-4ffe-aac7-475706165d41
corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q0	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
her backyard	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q1	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
too much water	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q2	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
corn	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_4	13573c2e-5eed-40eb-bbe5-ed259b5c76a6_Q3	13573c2e-5eed-40eb-bbe5-ed259b5c76a6
some Pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_1	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q0	1cc75245-93bd-44cc-b076-8d1b249e1ee5
Julie order the food through an online website.	1cc75245-93bd-44cc-b076-8d1b249e1ee5_2	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q1	1cc75245-93bd-44cc-b076-8d1b249e1ee5
a bite of the pizza	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q2	1cc75245-93bd-44cc-b076-8d1b249e1ee5
Julie went to take a bite of the pizza and it was burnt!	1cc75245-93bd-44cc-b076-8d1b249e1ee5_4	1cc75245-93bd-44cc-b076-8d1b249e1ee5_Q3	1cc75245-93bd-44cc-b076-8d1b249e1ee5
a goldfish	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q0	1e379d2b-69e8-485e-92ac-4c3daa41e364
from the pet store	1e379d2b-69e8-485e-92ac-4c3daa41e364_0	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q1	1e379d2b-69e8-485e-92ac-4c3daa41e364
her that the goldfish had too much to eat .	1e379d2b-69e8-485e-92ac-4c3daa41e364_2	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q2	1e379d2b-69e8-485e-92ac-4c3daa41e364
healthier	1e379d2b-69e8-485e-92ac-4c3daa41e364_4	1e379d2b-69e8-485e-92ac-4c3daa41e364_Q3	1e379d2b-69e8-485e-92ac-4c3daa41e364
his knee	210d56ce-a940-4766-9b7b-d086b2c5682d_1	210d56ce-a940-4766-9b7b-d086b2c5682d_Q0	210d56ce-a940-4766-9b7b-d086b2c5682d
-	-	210d56ce-a940-4766-9b7b-d086b2c5682d_Q1	210d56ce-a940-4766-9b7b-d086b2c5682d
a handkerchief in his pants	210d56ce-a940-4766-9b7b-d086b2c5682d_2	210d56ce-a940-4766-9b7b-d086b2c5682d_Q2	210d56ce-a940-4766-9b7b-d086b2c5682d
some peroxide and bandages	210d56ce-a940-4766-9b7b-d086b2c5682d_4	210d56ce-a940-4766-9b7b-d086b2c5682d_Q3	210d56ce-a940-4766-9b7b-d086b2c5682d
He noticed a wallet lying on the ground.	271616db-90c2-4303-9c2b-64f4061ceb56_1	271616db-90c2-4303-9c2b-64f4061ceb56_Q0	271616db-90c2-4303-9c2b-64f4061ceb56
to the police station	271616db-90c2-4303-9c2b-64f4061ceb56_2	271616db-90c2-4303-9c2b-64f4061ceb56_Q1	271616db-90c2-4303-9c2b-64f4061ceb56
That evening	271616db-90c2-4303-9c2b-64f4061ceb56_3	271616db-90c2-4303-9c2b-64f4061ceb56_Q2	271616db-90c2-4303-9c2b-64f4061ceb56
The old man	271616db-90c2-4303-9c2b-64f4061ceb56_4	271616db-90c2-4303-9c2b-64f4061ceb56_Q3	271616db-90c2-4303-9c2b-64f4061ceb56
Bill	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q0	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
the truck he wanted despite Bobby 's advice	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q1	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
He	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_4	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
two vehicles	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_2	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9_Q3	2d16bcd6-692a-4fc0-8e7c-4a6f81d9efa9
